사용일자,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,승차총승객수,하차총승객수
20250913,741,741번(진관차고지~헌인릉입구),100000001,1001,종로2가사거리(00073),107,310
20250913,N37,N37번(송파공영차고지~진관공영차고지),100000001,1001,종로2가사거리(00032),23,23
20250913,470,470번(상암차고지~안골마을),100000001,1001,,210,327
20250913,N37,N37번(진관공영차고지~송파공영차고지),100000001,1001,종로2가사거리(00089),26,9
20250913,100,100번(하계동~용산구청),100000002,1002,창경궁.서울대학교병원(00031),118,74
20250913,104,104번(강북청소년수련관난나~숭례문),100000002,1002,창경궁.서울대학교병원(00024),208,102
20250913,140,140번(도봉산역~AT센터),100000002,1002,창경궁.서울대학교병원(00026),236,81
20250913,107,107번(민락동차고지~종로5가),100000002,1002,창경궁.서울대학교병원(00059),45,42
20250913,172,172번(하계동~월드컵2.3단지),100000002,1002,창경궁.서울대학교병원(00028),113,83
20250913,N31,N31정릉 (국민대~강동공영차고지),100000002,1002,창경궁.서울대학교병원(00013),2,1
20250913,150,150번(도봉산~석수역),100000002,1002,,108,57
20250913,272,272번(면목동~남가좌동),100000002,1002,창경궁.서울대학교병원(00032),295,193
20250913,301,301번(장지공영차고지~혜화동),100000002,1002,창경궁.서울대학교병원(00052),174,96
20250913,102,102번(상계동~동대문),100000002,1002,창경궁.서울대학교병원(00032),45,94
20250913,151,151번(우이동~중앙대),100000002,1002,창경궁.서울대학교병원(00032),135,105
20250913,710,710번(상암차고지~수유역),100000002,1002,창경궁.서울대학교병원(00054),105,65
20250913,143,143번(정릉~개포동),100000002,1002,창경궁.서울대학교병원(00015),169,72
20250913,160,160번(도봉산~온수동),100000002,1002,창경궁.서울대학교병원(00026),164,48
20250913,162,162번(정릉~여의도),100000002,1002,창경궁.서울대학교병원(00015),133,116
20250913,171,171번(용마문화복지센터~월드컵파크7단지),100000002,1002,창경궁.서울대학교병원(00012),146,80
20250913,104,104번(강북청소년수련관난나~숭례문),100000003,1003,명륜3가.성대입구(00023),147,216
20250913,107,107번(민락동차고지~종로5가),100000003,1003,명륜3가.성대입구(00058),41,89
20250913,172,172번(하계동~월드컵2.3단지),100000003,1003,명륜3가.성대입구(00027),215,141
20250913,100,100번(하계동~용산구청),100000003,1003,명륜3가.성대입구(00030),152,134
20250913,140,140번(도봉산역~AT센터),100000003,1003,명륜3가.성대입구(00025),583,142
20250913,N31,N31강동 (강동공영차고지~국민대),100000003,1003,명륜3가.성대입구(00088),7,2
20250913,N31,N31정릉 (국민대~강동공영차고지),100000003,1003,명륜3가.성대입구(00012),15,3
20250913,272,272번(면목동~남가좌동),100000003,1003,명륜3가.성대입구(00031),577,422
20250913,301,301번(장지공영차고지~혜화동),100000003,1003,명륜3가.성대입구(00051),557,249
20250913,150,150번(도봉산~석수역),100000003,1003,명륜3가.성대입구(00025),250,120
20250913,151,151번(우이동~중앙대),100000003,1003,명륜3가.성대입구(00031),175,103
20250913,102,102번(상계동~동대문),100000003,1003,명륜3가.성대입구(00031),64,155
20250913,710,710번(상암차고지~수유역),100000003,1003,명륜3가.성대입구(00053),293,60
20250913,143,143번(정릉~개포동),100000003,1003,,386,165
20250913,160,160번(도봉산~온수동),100000003,1003,명륜3가.성대입구(00025),367,84
20250913,162,162번(정릉~여의도),100000003,1003,명륜3가.성대입구(00014),206,212
20250913,171,171번(용마문화복지센터~월드컵파크7단지),100000003,1003,명륜3가.성대입구(00011),287,149
20250913,N37,N37번(송파공영차고지~진관공영차고지),100000004,1004,종로2가.삼일교(00081),7,3
20250913,470,470번(상암차고지~안골마을),100000004,1004,종로2가.삼일교(00029),278,289
20250913,N37,N37번(진관공영차고지~송파공영차고지),100000004,1004,종로2가.삼일교(00026),35,9
20250913,741,741번(진관차고지~헌인릉입구),100000004,1004,종로2가.삼일교(00025),290,214
20250913,701,701번(진관차고지~종로2가),100000004,1004,종로2가.삼일교(00038),65,19
20250913,01A,01A번(예장주차장~예장주차장),100000004,1004,종로2가.삼일교(00023),71,241
20250913,501,501번(한남운수대학동차고지~종로2가),100000004,1004,종로2가.삼일교(00029),205,45
20250913,107,107번(민락동차고지~종로5가),100000005,1005,혜화동로터리.여운형활동터(00057),10,95
20250913,172,172번(하계동~월드컵2.3단지),100000005,1005,혜화동로터리.여운형활동터(00026),80,125
20250913,100,100번(하계동~용산구청),100000005,1005,혜화동로터리.여운형활동터(00029),79,234
20250913,104,104번(강북청소년수련관난나~숭례문),100000005,1005,혜화동로터리.여운형활동터(00022),58,251
20250913,N31,N31강동 (강동공영차고지~국민대),100000005,1005,혜화동로터리.여운형활동터(00087),2,1
20250913,N31,N31정릉 (국민대~강동공영차고지),100000005,1005,혜화동로터리.여운형활동터(00011),10,3
20250913,140,140번(도봉산역~AT센터),100000005,1005,,338,133
20250913,272,272번(면목동~남가좌동),100000005,1005,혜화동로터리.여운형활동터(00030),424,490
20250913,150,150번(도봉산~석수역),100000005,1005,혜화동로터리.여운형활동터(00024),119,119
20250913,151,151번(우이동~중앙대),100000005,1005,혜화동로터리.여운형활동터(00030),104,135
20250913,710,710번(상암차고지~수유역),100000005,1005,혜화동로터리.여운형활동터(00052),126,79
20250913,102,102번(상계동~동대문),100000005,1005,혜화동로터리.여운형활동터(00030),16,143
20250913,160,160번(도봉산~온수동),100000005,1005,혜화동로터리.여운형활동터(00024),198,121
20250913,143,143번(정릉~개포동),100000005,1005,혜화동로터리.여운형활동터(00013),202,264
20250913,162,162번(정릉~여의도),100000005,1005,혜화동로터리.여운형활동터(00013),110,263
20250913,171,171번(용마문화복지센터~월드컵파크7단지),100000005,1005,혜화동로터리.여운형활동터(00010),133,187
20250913,7016,7016번(은평차고지~상명대),100000006,1101,경기상고(00059),107,10
20250913,7018,7018번(북가좌동~광교),100000006,1101,경기상고(00025),72,81
20250913,1711,1711번(국민대~공덕동),100000006,1101,경기상고(00013),112,41
20250913,7016,7016번(은평차고지~상명대),100000007,1102,신교동(00060),148,20
20250913,7018,7018번(북가좌동~광교),100000007,1102,신교동(00026),69,90
20250913,1020,1020번(정릉~교보문고),100000007,1102,신교동(00022),180,47
20250913,7022,7022번(구산동~서울역),100000007,1102,신교동(00030),172,84
20250913,7212,7212번(은평차고지~극동그린아파트앞),100000007,1102,신교동(00043),176,43
20250913,1711,1711번(국민대~공덕동),100000007,1102,신교동(00014),197,86
20250913,7016,7016번(은평차고지~상명대),100000008,1103,경기상고(00051),15,125
20250913,7018,7018번(북가좌동~광교),100000008,1103,경기상고(00035),41,42
20250913,1711,1711번(국민대~공덕동),100000008,1103,경기상고(00053),46,163
20250913,1020,1020번(정릉~교보문고),100000009,1104,경복고교(00021),99,61
20250913,7022,7022번(구산동~서울역),100000009,1104,경복고교(00029),109,89
20250913,7212,7212번(은평차고지~극동그린아파트앞),100000009,1104,경복고교(00042),97,39
20250913,1020,1020번(정릉~교보문고),100000010,1105,청운중학교(00020),15,18
20250913,7022,7022번(구산동~서울역),100000010,1105,청운중학교(00028),7,30
20250913,7212,7212번(은평차고지~극동그린아파트앞),100000010,1105,청운중학교(00041),10,17
20250913,1020,1020번(정릉~교보문고),100000011,1106,자하문고개.윤동주문학관(00019),181,27
20250913,7022,7022번(구산동~서울역),100000011,1106,자하문고개.윤동주문학관(00027),197,31
20250913,7212,7212번(은평차고지~극동그린아파트앞),100000011,1106,자하문고개.윤동주문학관(00040),216,33
20250913,1020,1020번(정릉~교보문고),100000012,1107,자하문고개.윤동주문학관(00035),37,251
20250913,7022,7022번(구산동~서울역),100000012,1107,자하문고개.윤동주문학관(00048),47,185
20250913,7212,7212번(은평차고지~극동그린아파트앞),100000012,1107,자하문고개.윤동주문학관(00103),24,245
20250913,1020,1020번(정릉~교보문고),100000013,1108,청운중학교(00034),5,65
20250913,7022,7022번(구산동~서울역),100000013,1108,청운중학교(00047),5,56
20250913,7212,7212번(은평차고지~극동그린아파트앞),100000013,1108,청운중학교(00102),5,40
20250913,1020,1020번(정릉~교보문고),100000014,1109,경복고교(00033),63,118
20250913,7022,7022번(구산동~서울역),100000014,1109,경복고교(00046),71,92
20250913,7212,7212번(은평차고지~극동그린아파트앞),100000014,1109,경복고교(00101),58,90
20250913,7016,7016번(은평차고지~상명대),100000015,1110,통인시장종로구보건소(00061),223,82
20250913,1020,1020번(정릉~교보문고),100000015,1110,통인시장종로구보건소(00023),178,231
20250913,7018,7018번(북가좌동~광교),100000015,1110,통인시장종로구보건소(00027),59,204
20250913,7022,7022번(구산동~서울역),100000015,1110,통인시장종로구보건소(00031),182,230
20250913,7212,7212번(은평차고지~극동그린아파트앞),100000015,1110,통인시장종로구보건소(00044),237,182
20250913,1711,1711번(국민대~공덕동),100000015,1110,통인시장종로구보건소(00015),257,309
20250913,7016,7016번(은평차고지~상명대),100000016,1111,통인시장종로구보건소(00049),34,149
20250913,1020,1020번(정릉~교보문고),100000016,1111,통인시장종로구보건소(00031),112,133
20250913,7018,7018번(북가좌동~광교),100000016,1111,통인시장종로구보건소(00033),136,39
20250913,7022,7022번(구산동~서울역),100000016,1111,통인시장종로구보건소(00044),128,200
20250913,7212,7212번(은평차고지~극동그린아파트앞),100000016,1111,통인시장종로구보건소(00099),62,206
20250913,1711,1711번(국민대~공덕동),100000016,1111,통인시장종로구보건소(00051),73,212
20250913,7016,7016번(은평차고지~상명대),100000017,1112,효자동(00050),32,124
20250913,1020,1020번(정릉~교보문고),100000017,1112,효자동(00032),47,89
