기준연도,기준월,시도명,시군구명,법정동,확진자수
2020,1,서울특별시,마포구,공덕동,0
2020,2,서울특별시,마포구,공덕동,0
2020,3,,,,2
2020,4,서울특별시,마포구,공덕동,
2020,5,서울특별시,마포구,공덕동,
2020,6,서울특별시,마포구,공덕동,3
2020,7,서울특별시,마포구,공덕동,2
2020,8,서울특별시,마포구,공덕동,7
2020,9,서울특별시,마포구,공덕동,9
2020,10,서울특별시,마포구,공덕동,1
2020,11,서울특별시,마포구,공덕동,7
2020,12,서울특별시,마포구,공덕동,31
2021,1,서울특별시,마포구,공덕동,11
2021,2,서울특별시,마포구,공덕동,6
2021,3,서울특별시,마포구,공덕동,14
2021,4,서울특별시,마포구,공덕동,14
2021,5,서울특별시,마포구,공덕동,27
2021,6,서울특별시,마포구,공덕동,23
2021,7,서울특별시,마포구,공덕동,57
2021,8,서울특별시,마포구,공덕동,41
2021,9,서울특별시,마포구,공덕동,33
2021,10,서울특별시,마포구,공덕동,33
2021,11,서울특별시,마포구,공덕동,95
2021,12,서울특별시,마포구,공덕동,208
2022,1,서울특별시,마포구,공덕동,153
2022,2,서울특별시,마포구,공덕동,1876
2022,3,서울특별시,마포구,공덕동,7186
2022,4,서울특별시,마포구,공덕동,2582
2022,5,서울특별시,마포구,공덕동,533
2022,6,서울특별시,마포구,공덕동,219
2022,7,서울특별시,마포구,공덕동,1422
2022,8,서울특별시,마포구,공덕동,2187
2022,9,서울특별시,마포구,공덕동,917
2022,10,서울특별시,마포구,공덕동,686
2022,11,서울특별시,마포구,공덕동,1161
2022,12,서울특별시,마포구,공덕동,1455
2020,1,서울특별시,마포구,구수동,0
2020,2,서울특별시,마포구,구수동,0
2020,3,서울특별시,마포구,구수동,0
2020,4,서울특별시,마포구,구수동,0
2020,5,서울특별시,마포구,구수동,0
2020,6,서울특별시,마포구,구수동,0
2020,7,서울특별시,마포구,구수동,0
2020,8,서울특별시,마포구,구수동,0
2020,9,서울특별시,마포구,구수동,0
2020,10,서울특별시,마포구,구수동,0
2020,11,서울특별시,마포구,구수동,0
2020,12,서울특별시,마포구,구수동,0
2021,1,서울특별시,마포구,구수동,0
2021,2,서울특별시,마포구,구수동,0
2021,3,서울특별시,마포구,구수동,0
2021,4,서울특별시,마포구,구수동,1
2021,5,서울특별시,마포구,구수동,1
2021,6,서울특별시,마포구,구수동,0
2021,7,서울특별시,마포구,구수동,0
2021,8,서울특별시,마포구,구수동,0
2021,9,서울특별시,마포구,구수동,1
2021,10,서울특별시,마포구,구수동,0
2021,11,서울특별시,마포구,구수동,0
2021,12,서울특별시,마포구,구수동,3
2022,1,서울특별시,마포구,구수동,6
2022,2,서울특별시,마포구,구수동,20
2022,3,서울특별시,마포구,구수동,148
2022,4,서울특별시,마포구,구수동,55
2022,5,서울특별시,마포구,구수동,8
