주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
161-2-000169,을왕리 공영주차장,공영,노외,인천광역시 중구 용유서로 297-3,인천광역시 중구 을왕동 711-3,138,3,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,400,15,200,,,,,,인천광역시 중구청,032-763-8146,37.44476466,126.3760481,Y,2025-06-01
161-2-000170,왕산 공영주차장,공영,노외,인천광역시 중구 용유서로423번길 4,인천광역시 중구 을왕동 776-14,186,3,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,400,15,200,,,,,,인천광역시 중구청,032-763-8146,37.45590978,126.3715102,Y,2025-06-01
161-2-000171,무의(광명항) 공영주차장,공영,노외,,인천광역시 중구 무의동 50-18,180,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7797,37.37915292,126.4329017,Y,2025-06-01
161-1-000172,영종역일원(노상) 공영주차장,공영,노상,,인천광역시 중구 운북동 464,103,3,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,400,15,200,,,,,,인천광역시 중구청,032-763-8146,37.510818,126.5241062,Y,2025-06-01
161-1-000173,공항신도시 공영주차장,공영,노상,,인천광역시 중구 운서동 2818,224,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,400,15,200,,,,,,인천광역시 중구청,032-763-8146,37.49428854,126.481847,Y,2025-06-01
161-2-000152,전동그린맨션뒤공영주차장,공영,노외,,인천광역시 중구 전동 25-113,10,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4788123,126.6266091,Y,2025-06-01
161-2-000153,용동공영주차장,공영,노외,,인천광역시 중구 용동 177-1,49,1,미시행,평일+토요일+공휴일,11:00,20:00,11:00,20:00,11:00,20:00,유료,30,1000,15,500,5,10000,100000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47346239,126.6305391,Y,2025-06-01
161-2-000154,동인천삼치거리공영주차장,공영,노외,,인천광역시 중구 내동 6-2,40,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,1000,15,500,5,10000,100000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47507754,126.6287196,Y,2025-06-01
161-2-000155,차이나타운공영주차장,공영,노외,인천광역시 중구 차이나타운로44번길 28-12,인천광역시 중구 북성동2가 12-36,186,1,미시행,평일+토요일+공휴일,9:00,21:00,9:00,21:00,9:00,21:00,유료,30,1000,15,500,5,10000,100000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47605364,126.6183546,Y,2025-06-01
161-2-000157,월미도제2공영주차장,공영,노외,,인천광역시 중구 북성동1가 97-32,136,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,15,300,5,6000,60000,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47743131,126.5985286,Y,2025-06-01
161-2-000158,월미도1공영주차장,공영,노외,,인천광역시 중구 북성동1가 98-143,24,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-579-2701,37.4751514,126.601951,Y,2025-06-01
161-2-000159,월미도2공영주차장,공영,노외,,인천광역시 중구 북성동1가 98-139,39,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-579-2701,37.47541558,126.6016908,Y,2025-06-01
161-2-000160,월미도3공영주차장,공영,노외,,인천광역시 중구 북성동1가 98-154,61,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-579-2701,37.47525477,126.601345,Y,2025-06-01
161-2-000161,월미도4공영주차장,공영,노외,,인천광역시 중구 북성동1가 98-39,20,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-579-2701,37.4749436,126.6016875,Y,2025-06-01
161-2-000162,월미도무료공영주차장,공영,노외,,인천광역시 중구 북성동1가 98-115,16,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4766206,126.6004132,Y,2025-06-01
161-2-000164,라이언경로당앞공영주차장,공영,노외,인천광역시 중구 월미로 48,인천광역시 중구 북성동1가 4-77,16,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47809317,126.6149164,Y,2025-06-01
161-2-000165,동화마을공영주차장,공영,노외,인천광역시 중구 제물량로 307-1,인천광역시 중구 송월동2가 4,100,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,1000,15,500,5,10000,,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47902422,126.6186244,Y,2025-06-01
161-2-000166,동화마을제2공영주차장,공영,노외,인천광역시 중구 제물량로 307(북성동2가),인천광역시 중구 북성동2가 1-1,9,1,미시행,평일+토요일+공휴일,8:00,22:00,8:00,22:00,8:00,22:00,유료,0,0,,,,3000,,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47877173,126.6185579,Y,2025-06-01
161-2-000167,송월시장임시공영주차장,공영,노외,인천광역시 중구 제물량로 307-1(송월동2가),인천광역시 중구 송월동2가 4,30,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47902422,126.6186244,Y,2025-06-01
161-3-000168,중구청사 부설주차장,공영,부설,인천광역시 중구 신포로27번길 80,인천광역시 중구 관동1가 9-1,159,1,요일제,평일+토요일+공휴일,9:00,19:00,9:00,18:00,9:00,18:00,유료,30,1000,15,500,5,10000,,현금+신용카드,,인천광역시 중구청,032-763-8146,37.47408104,126.6213401,Y,2025-06-01
161-2-000136,정보산업고뒤제2공영주차장,공영,노외,,인천광역시 중구 유동 37-4,4,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4703278,126.6354643,N,2025-06-01
161-2-000137,율목동공영주차장,공영,노외,,인천광역시 중구 율목동 249-5,21,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46887503,126.6355274,N,2025-06-01
161-2-000138,율목공원제1공영주차장,공영,노외,,인천광역시 중구 율목동 120,3,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4694662,126.6338658,N,2025-06-01
161-2-000139,율목공원제2공영주차장,공영,노외,,인천광역시 중구 율목동 215,2,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4701448,126.6335008,N,2025-06-01
161-2-000140,율목공원제3공영주차장,공영,노외,,인천광역시 중구 율목동 143,4,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4697452,126.6340058,N,2025-06-01
161-2-000141,율목공원제4공영주차장,공영,노외,,인천광역시 중구 율목동 171,2,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.470046,126.6340621,N,2025-06-01
