정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)주안2동치안센터,37302,7704 ,4576 ,7704 ,4576 ,0 ,396 
(주)경동세라믹스,89146,868 ,10 ,868 ,10 ,0 ,28 
(주)경인양행앞,42096,1670 ,1030 ,1670 ,1030 ,0 ,87 
(주)경인양행앞,42097,2131 ,5063 ,2131 ,5063 ,0 ,232 
(주)대한특수금속,39050,1218 ,150 ,1218 ,150 ,0 ,44 
(주)두남,39135,152 ,82 ,152 ,82 ,0 ,7 
(주)세모입구(린나이코리아),37585,1316 ,1708 ,1316 ,1708 ,0 ,97 
(주)세모입구(린나이코리아),40893,411 ,747 ,411 ,747 ,0 ,37 
(주)스킨이데아,89388,1242 ,3631 ,1242 ,3631 ,0 ,157 
(주)스킨이데아,89389,3260 ,70 ,3260 ,70 ,0 ,107 
(주)우리김치,39133,423 ,3568 ,423 ,3568 ,0 ,128 
(주)우리김치,39134,2303 ,423 ,2303 ,423 ,0 ,87 
(주)창원,39029,3547 ,2865 ,3547 ,2865 ,0 ,206 
(주)창원,39030,3725 ,3600 ,3725 ,3600 ,0 ,236 
(주)하나금속,39124,15 ,51 ,15 ,51 ,0 ,2 
17사단.다임메가타운,40895,2277 ,4824 ,2277 ,4824 ,0 ,229 
17사단입구,40832,70 ,575 ,70 ,575 ,0 ,20 
2001아울렛,40154,4117 ,6027 ,4117 ,6027 ,0 ,327 
2001아울렛,40159,31194 ,13351 ,31194 ,13351 ,0 ,1436 
2001아울렛,40162,10251 ,21324 ,10251 ,21324 ,0 ,1018 
2001아울렛부평점,40158,4269 ,4321 ,4269 ,4321 ,0 ,277 
2차풍림아이원,42584,22 ,10828 ,22 ,10828 ,0 ,350 
3단지,40736,235 ,1653 ,235 ,1653 ,0 ,60 
3단지관리사무소,40107,2044 ,448 ,2044 ,448 ,0 ,80 
41번구종점,42174,2225 ,6344 ,2225 ,6344 ,0 ,276 
510번차고지,36145,909 ,591 ,909 ,591 ,0 ,48 
540번종점,39470,3230 ,4342 ,3230 ,4342 ,0 ,244 
6공단사거리,37577,335 ,2201 ,335 ,2201 ,0 ,81 
6공단입구,37442,572 ,1058 ,572 ,1058 ,0 ,52 
6공단입구,37443,1094 ,1316 ,1094 ,1316 ,0 ,77 
8부두,35181,363 ,2234 ,363 ,2234 ,0 ,83 
8부두,35182,2375 ,2417 ,2375 ,2417 ,0 ,154 
BMX경기장,90459,13 ,2 ,13 ,2 ,0 ,0 
BMX경기장,90477,1 ,25 ,1 ,25 ,0 ,0 
CJ인천2공장,35591,411 ,3913 ,411 ,3913 ,0 ,139 
CJ인천2공장,35592,2896 ,114 ,2896 ,114 ,0 ,97 
E편한세상,42453,2362 ,1940 ,2362 ,1940 ,0 ,138 
E편한세상,42649,1309 ,4837 ,1309 ,4837 ,0 ,198 
E편한세상,42726,4675 ,1588 ,4675 ,1588 ,0 ,202 
GM물류센터,40568,712 ,1198 ,712 ,1198 ,0 ,61 
GS25편의점,36142,1375 ,3031 ,1375 ,3031 ,0 ,142 
GS칼텍스,35168,458 ,45 ,458 ,45 ,0 ,16 
GS칼텍스,35557,11 ,1978 ,11 ,1978 ,0 ,64 
